admin0_code,date,cases,deaths
US,2020-01-21,1,0
US,2020-01-22,1,0
US,2020-01-23,1,0
US,2020-01-24,2,0
US,2020-01-25,3,0
US,2020-01-26,5,0
US,2020-01-27,5,0
US,2020-01-28,5,0
US,2020-01-29,5,0
US,2020-01-30,6,0
US,2020-01-31,7,0
US,2020-02-01,8,0
US,2020-02-02,11,0
US,2020-02-03,11,0
US,2020-02-04,11,0
US,2020-02-05,12,0
US,2020-02-06,12,0
US,2020-02-07,12,0
US,2020-02-08,12,0
US,2020-02-09,12,0
US,2020-02-10,13,0
US,2020-02-11,13,0
US,2020-02-12,14,0
US,2020-02-13,15,0
US,2020-02-14,15,0
US,2020-02-15,15,0
US,2020-02-16,15,0
US,2020-02-17,25,0
US,2020-02-18,25,0
US,2020-02-19,25,0
US,2020-02-20,27,0
US,2020-02-21,30,0
US,2020-02-22,30,0
US,2020-02-23,30,0
US,2020-02-24,43,0
US,2020-02-25,45,0
US,2020-02-26,60,0
US,2020-02-27,60,0
US,2020-02-28,65,0
US,2020-02-29,70,1
US,2020-03-01,88,3
US,2020-03-02,104,6
US,2020-03-03,125,10
US,2020-03-04,161,12
US,2020-03-05,228,12
US,2020-03-06,311,15
US,2020-03-07,428,19
US,2020-03-08,547,22
US,2020-03-09,748,26
US,2020-03-10,1018,31
US,2020-03-11,1263,37
US,2020-03-12,1668,43
US,2020-03-13,2224,50
US,2020-03-14,2898,60
US,2020-03-15,3600,68
US,2020-03-16,4507,91
US,2020-03-17,5906,117
US,2020-03-18,8350,162
US,2020-03-19,12393,212
US,2020-03-20,18012,277
US,2020-03-21,24528,360
US,2020-03-22,33073,458
US,2020-03-23,43505,579
US,2020-03-24,53938,785
US,2020-03-25,68572,1054
US,2020-03-26,85570,1353
US,2020-03-27,102900,1765
US,2020-03-28,123966,2292
US,2020-03-29,142486,2707
US,2020-03-30,163955,3354
US,2020-03-31,188461,4289
US,2020-04-01,215391,5325
US,2020-04-02,245108,6541
US,2020-04-03,277426,7932
US,2020-04-04,312525,9488
US,2020-04-05,338141,10856
US,2020-04-06,369100,12382
US,2020-04-07,399449,14616
US,2020-04-08,431259,16701
US,2020-04-09,465959,18821
US,2020-04-10,499432,21084
US,2020-04-11,531157,23168
US,2020-04-12,558300,24849
US,2020-04-13,584069,26613
US,2020-04-14,610760,29318
US,2020-04-15,640793,32070
US,2020-04-16,672406,34418
US,2020-04-17,703915,36707
US,2020-04-18,732315,38659
US,2020-04-19,757649,40179
US,2020-04-20,784980,42016
US,2020-04-21,810488,44688
US,2020-04-22,839320,47059
US,2020-04-23,873093,49228
US,2020-04-24,909832,51360
US,2020-04-25,944241,53326
US,2020-04-26,970978,54580
US,2020-04-27,994169,56022
US,2020-04-28,1018805,58416
US,2020-04-29,1045366,60930
US,2020-04-30,1075705,63140
US,2020-05-01,1109669,64902
US,2020-05-02,1139143,66485
US,2020-05-03,1165283,67816
US,2020-05-04,1187244,68905
US,2020-05-05,1210947,71139
US,2020-05-06,1235434,73847
US,2020-05-07,1263907,75805
US,2020-05-08,1291551,77380
US,2020-05-09,1316420,78726
US,2020-05-10,1336737,79654
US,2020-05-11,1354355,80634
US,2020-05-12,1376654,82286
US,2020-05-13,1397795,84053
US,2020-05-14,1424756,85789
US,2020-05-15,1450979,87377
US,2020-05-16,1474638,88602
US,2020-05-17,1493652,89445
US,2020-05-18,1515472,90284
US,2020-05-19,1536440,91804
US,2020-05-20,1559504,93286
US,2020-05-21,1585237,94596
US,2020-05-22,1609030,95884
US,2020-05-23,1631298,96933
US,2020-05-24,1651329,97553
US,2020-05-25,1670429,98061
US,2020-05-26,1689318,98808
US,2020-05-27,1708059,100293
US,2020-05-28,1730527,101491
US,2020-05-29,1755074,102680
US,2020-05-30,1778471,103642
